aifstime_utc[80],apparent_t,cloud_base_m,cloud_oktas,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,rain_trace[80],rel_hum,vis_km[80],wind_spd_kmh,wind_spd_kt
20260216113000,19.9,0,0,8.0,20,11,23.4,8.7,1010.0,1010.0,1011.4,0.0,39,10,17,9
20260216110000,20.4,0,0,7.8,17,9,23.1,8.8,1010.2,1010.2,1011.6,0.0,40,10,13,7
20260216103000,20.5,0,0,8.1,17,9,23.6,8.8,1010.0,1010.0,1011.4,0.0,39,10,15,8
20260216100000,21.8,0,0,8.7,15,8,24.3,8.3,1009.7,1009.7,1011.2,0.0,36,10,11,6
20260216093000,22.4,0,0,9.4,20,11,25.6,8.6,1009.4,1009.4,1010.9,0.0,34,10,15,8
20260216090000,24.2,0,0,10.6,20,11,27.4,8.3,1009.3,1009.3,1010.7,0.0,30,10,15,8
20260216083000,25.2,0,0,11.9,26,14,29.3,7.8,1009.3,1009.3,1010.7,0.0,26,10,19,10
20260216080000,26.3,0,0,12.4,22,12,30.0,7.8,1009.4,1009.4,1010.9,0.0,25,10,17,9
20260216073000,26.8,0,0,12.4,22,12,30.1,7.9,1009.6,1009.6,1011.1,0.0,25,10,15,8
20260216070000,26.7,0,0,12.7,24,13,30.5,7.7,1009.9,1009.9,1011.3,0.0,24,10,17,9
20260216063000,27.5,2760,3,12.8,26,14,31.3,8.9,1010.0,1010.0,1011.4,0.0,25,10,19,10
20260216060000,27.6,2640,5,13.0,24,13,31.2,8.2,1010.3,1010.3,1011.7,0.0,24,10,17,9
20260216053000,26.9,0,0,12.2,24,13,30.1,8.5,1010.6,1010.6,1012.0,0.0,26,10,15,8
20260216050000,26.1,2550,1,11.3,28,15,29.4,9.5,1010.9,1010.9,1012.3,0.0,29,10,17,9
20260216043000,27.9,0,0,12.2,26,14,30.8,9.6,1011.2,1011.2,1012.6,0.0,27,10,15,8
20260216040000,26.2,0,0,11.7,30,16,30.1,9.6,1011.5,1011.5,1012.9,0.0,28,10,20,11
20260216033000,26.7,0,0,11.9,35,19,30.5,9.9,1011.8,1011.8,1013.3,0.0,28,10,20,11
20260216030000,24.9,0,0,11.1,32,17,29.4,10.0,1012.3,1012.3,1013.7,0.0,30,10,24,13
20260216023000,25.3,0,0,10.5,33,18,29.1,11.2,1012.7,1012.7,1014.1,0.0,33,10,22,12
20260216020000,24.6,0,0,9.9,33,18,28.3,11.4,1013.1,1013.1,1014.5,0.0,35,10,22,12
20260216013000,23.9,0,0,9.5,37,20,28.2,12.1,1013.4,1013.4,1014.8,0.0,37,10,26,14
20260216010000,22.8,0,0,8.7,35,19,27.0,12.3,1013.7,1013.7,1015.1,0.0,40,10,26,14
20260216003000,22.5,0,0,8.2,33,18,26.3,12.4,1014.0,1014.0,1015.3,0.0,42,10,24,13
20260216000000,20.5,0,0,7.8,35,19,25.3,11.8,1014.2,1014.2,1015.5,0.0,43,10,28,15
